reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sentiment,clean_content
ade46460-a93d-4440-9448-2f5039ba9275,Asep Surya,https://play-lh.googleusercontent.com/a-/ALV-UjUWrJ0VpvEr_1y95n9F0bLAfOIdKy9CoT4fTudlrgJVgwp5Ffs,"Ini aplikasi di Indonesia tetapi sinopsis film rata2 menggunakan Bahasa Inggris, harusnya ada menu terjemahan nya jika memang dari pihak film memberikan sinopsis berbahasa Inggris",3,0,3.12.0,2024-12-12 08:01:53,"Hi TIX Hunter, terima kasih atas review & saran yang diberikan. Tentunya akan menjadi pertimbangan kami kedepannya. Semoga TIX ID bisa menjadi pilihan utama untuk pembelian tiket nonton di bioskop kesayangan Anda. Jika memiliki pertanyaan lainnya, mohon berkenan untuk menghubungi kami melalui email di help@tix.id. Terima kasih/Bagas",2024-12-12 08:10:24,3.12.0,netral,aplikasi indonesia tetapi sinopsis film rata guna bahasa inggris harus ada menu terjemah jika memang pihak film beri sinopsis bahasa inggris
9804a951-cf21-4c52-aaf0-683607a5bf13,Prasetyo P,https://play-lh.googleusercontent.com/a-/ALV-UjWz7dy0fV8aa_-Hf_6yg3QfddRc2lKW8XUb-nuUN3e1fc8rPnar,Lengkap dan user friendly,5,0,3.12.0,2024-12-11 22:24:55,"Hi TIX Hunter, terima kasih atas review yang diberikan. Semoga TIX ID bisa menjadi pilihan utama untuk pembelian tiket nonton di jaringan bioskop kesayangan Anda. Jika Anda memiliki pertanyaan lainnya, mohon berkenan untuk menghubungi Customer Service kami melalui email di help@tix.id. Terima kasih/Miko",2024-12-12 02:04:21,3.12.0,positif,lengkap user friendly
1b6b070d-01fd-4767-9ad0-2323dbedf847,Riyanti Mulyasari,https://play-lh.googleusercontent.com/a-/ALV-UjXYZkZwFZbxIDiqtyII0_yWKaeulDO9ECMAue9OsII9nomuSqHXSg,Baguss,5,0,3.12.0,2024-12-11 13:29:28,"Hi TIX Hunter, terima kasih atas review yang diberikan. Semoga TIX ID bisa menjadi pilihan utama untuk pembelian tiket nonton di jaringan bioskop kesayangan Anda. Jika Anda memiliki pertanyaan lainnya, mohon berkenan untuk menghubungi Customer Service kami melalui email di help@tix.id. Terima kasih/Rina",2024-12-11 13:43:47,3.12.0,positif,baguss
90aef585-d1af-49b6-b8c6-4827ca6a1a56,Rehan BJbjBJ,https://play-lh.googleusercontent.com/a/ACg8ocLecyk9N3O8Cg07iqNg7GY0BHIKbiE2Pwgq116tqBqzq9zr0Q=mo,Aplikasi paling keren baru login mau pesan eh ternyata yang mau di tonton ada diskon buy 1 get 1 gak pake lama langsung gercep saya Ama temen²😁,5,0,3.12.0,2024-12-11 10:37:52,"Hi TIX Hunter, terima kasih atas review yang diberikan. Semoga TIX ID bisa menjadi pilihan utama untuk pembelian tiket nonton di jaringan bioskop kesayangan Anda. Jika Anda memiliki pertanyaan lainnya, mohon berkenan untuk menghubungi Customer Service kami melalui email di help@tix.id. Terima kasih/Bagas",2024-12-11 10:40:40,3.12.0,positif,aplikasi paling keren baru login mau pesan eh nyata mau tonton ada diskon buy get gak pake lama langsung gercep ama temen
92d1c59a-f2af-4d00-97f1-f6eb7e8a0e3e,OndolSatrio,https://play-lh.googleusercontent.com/a-/ALV-UjV020UQmBkVFH_Ydx19kGVHNzBTupYARsiuN3jUO4QquGXRiz7j,"Kepada yang terhormat PT elang jaya ini tolong perbaiki napa di hp saya itu erorr terus coba lagi nanti gitu tolong perbaiki napa masa orang nya rapi rapi di kantor aplikasinya bobrok kan aneh it nya kalau ga becus ganti aja sama yang niat kerja, saya bukannya so atau apapun tapi saya mau lihat lihat film atau booking film buat nonton di bioskop jadi susah dan terganggu, terimakasih banyak 🙏.",1,1,3.12.0,2024-12-11 04:36:12,"Hi TIX Hunter, mohon maaf atas ketidaknyamanannya. Mohon untuk lakukan tips berikut yaitu clear data terlebih dahulu lalu nyalakan airplane mode beberapa saat. Setelah itu Anda dapat mencoba kembali. Jika masih terkendala, mohon berkenan untuk menghubungi Customer Service kami melalui email di help@tix.id. Terima kasih/Miko",2024-12-11 04:47:21,3.12.0,negatif,kepada hormat pt elang jaya tolong baik napa hp erorr terus coba nanti gitu tolong baik napa masa orang rapi rapi kantor aplikasi bobrok kan aneh it becus ganti sama niat kerja bukan so apa mau lihat lihat film booking film buat nonton bioskop jadi susah ganggu terimakasih banyak
d28b6e0f-2d51-49a6-a138-baf17c71938a,Grisel Freya,https://play-lh.googleusercontent.com/a-/ALV-UjUPU-3ZXd4DDYtdB9ptn6DeqcRuTVqCvP8Z-KrnT9naLkiRz7M,wow bingits,5,0,3.12.0,2024-12-09 06:18:08,"Hi TIX Hunter, terima kasih atas review yang diberikan. Semoga TIX ID bisa menjadi pilihan utama untuk pembelian tiket nonton di jaringan bioskop kesayangan Anda. Jika Anda memiliki pertanyaan lainnya, mohon berkenan untuk menghubungi Customer Service kami melalui email di help@tix.id. Terima kasih/Bagas",2024-12-09 06:25:02,3.12.0,positif,wow bingits
5a4194a2-9a60-43f3-87bc-b07310da3959,Gkgkgk 2323,https://play-lh.googleusercontent.com/a/ACg8ocIKEouscj8CYHLXenYqIWOjdbjm7qq4B3Hk4a1VkOrh6mdNaw=mo,"Oumayan lengkap, dan wort it",3,0,,2024-12-08 17:07:34,"Hi TIX Hunter, terima kasih atas detail review yang diberikan, mohon lakukan perubahan bintang 5 untuk kualitas terbaik bagi TIX ID dan menjadi pilihan utama untuk pembelian tiket nonton di bioskop kesayangan Anda. Jika Anda memiliki pertanyaan lainnya, mohon untuk menghubungi Customer Service melalui email di help@tix.id. Terima kasih/Miko",2024-12-09 02:26:22,,netral,oumayan lengkap wort it
a9b5abe1-17c8-4cc3-a67c-780de85d61b4,Edward Hutajulu,https://play-lh.googleusercontent.com/a-/ALV-UjU_cjLGWaN0sVUwevS-1zjAfp0vBOHMLUqAvAtL8nnYPXBdJVRc4A,Staffnya sombong2x gak punya jiwa pelayanan yang ramah. Jauh banget berubah sifat2x staffnya khususnya di sumarecon,1,0,3.12.0,2024-12-08 15:59:01,"Hi TIX Hunter, terima kasih atas review Anda dan kami mohon maaf atas ketidaknyamanan yang terjadi. Mohon berkenan mengirimkan info lengkapnya dengan menghubungi customer service kami melalui email di help@tix.id. Terima kasih/Miko",2024-12-09 02:12:33,3.12.0,negatif,staffnya sombongx gak punya jiwa layan ramah jauh banget ubah sifatx staffnya khusus sumarecon
2016bca7-965b-492f-84bd-0d6aecb0fb21,Ainiyyah Sukisti,https://play-lh.googleusercontent.com/a-/ALV-UjXUsyL36rjhdTTY7MmwrrWcd9ked6dLDzkZdK6HZyBLIJAXrEU,Aplikasi ini bagus untuk para penggemar nonton bioskop,5,0,3.12.0,2024-12-08 02:15:04,"Hi TIX Hunter, terima kasih atas review yang diberikan. Semoga TIX ID bisa menjadi pilihan utama untuk pembelian tiket nonton di jaringan bioskop kesayangan Anda. Jika Anda memiliki pertanyaan lainnya, mohon berkenan untuk menghubungi Customer Service kami melalui email di help@tix.id. Terima kasih/Miko",2024-12-08 03:20:45,3.12.0,positif,aplikasi bagus para gemar nonton bioskop
65143f19-65c2-4543-b395-3c7fd74a3e65,YULIA YZ,https://play-lh.googleusercontent.com/a/ACg8ocIlBNipji1ZZr1vK_mpMF1ehJdmnPwl_owjMNGE33PDfEr1tA=mo,"Ini di update bukan tambah gampang buka atau puter trilerx eh malah tambah berat dan muter triler susah luar biasa,,, kalau mau upgrade minimal jadi mkin ringan bukan mkin berat aplikasix 🙏",2,2,3.12.0,2024-12-08 00:12:36,"Hi TIX Hunter, mohon maaf atas ketidaknyamanannya. Mohon untuk lakukan tips berikut yaitu clear data terlebih dahulu lalu nyalakan airplane mode beberapa saat. Setelah itu Anda dapat mencoba kembali. Jika masih terkendala, mohon berkenan untuk menghubungi Customer Service kami melalui email di help@tix.id. Terima kasih/Miko",2024-12-08 03:05:27,3.12.0,negatif,update bukan tambah gampang buka puter trilerx eh malah tambah berat muter triler susah luar biasa mau upgrade minimal jadi mkin ringan bukan mkin berat aplikasix
